ID,표지URL,도서명,저자,출판사,출판일,ISBN,교보문고,Yes24,알라딘,기타,수준별,내용별,등록일
B035,,사람의 지리학,최창조,서해문집,2011-05-01,8974834707,,,,https://www.aladin.co.kr/shop/wproduct.aspx?ItemId=11612011,교양,사상,2026-03-08
B036,,전염병의 지리학,박선미,갈라파고스,2022-08-01,,,https://www.yes24.com/Product/Goods/112066536,,https://www.aladin.co.kr/shop/wproduct.aspx?ItemId=300041806,교양,인문지리,2026-03-08
B037,,재앙의 지리학,로리 파슨스 / 추선영 역,오월의봄,2024-09-01,,,https://www.yes24.com/Product/Goods/132917110,https://www.aladin.co.kr/shop/wproduct.aspx?ItemId=345927122,,교양,자연지리,2026-03-08
B038,,세계 지리 세상과 통하다 1: 아시아에서 오세아니아까지,전국지리교사모임,사계절,,,https://product.kyobobook.co.kr/detail/S000219306484,,,,,중등,지역,2026-03-08
B039,,세계 지리 세상과 통하다 2: 아프리카에서 남북극까지,전국지리교사모임,사계절,,,https://product.kyobobook.co.kr/detail/S000219334963,,,,,중등,지역,2026-03-08
B040,,살아있는 지리 교과서 1: 자연지리,전국지리교사연합회,휴머니스트,,,https://product.kyobobook.co.kr/detail/S000000879621,,,,,중등,자연지리,2026-03-08
B041,,중등 지리 수업 설계 가이드,열정지리교사모임,푸른길,,,https://product.kyobobook.co.kr/detail/S000218569877,,,,,대학/임용,교육,2026-03-08
B042,,지리교사의 서울 도시 산책,이두현,푸른길,,,https://product.kyobobook.co.kr/detail/S000000977677,,,,,교양,도시,2026-03-08
B043,,MAPS (확장판),알렉산드라 미지엘린스카 · 다니엘 미지엘린스키,그린북,,,https://product.kyobobook.co.kr/detail/S000211521088,,,,,유·초등,지역,2026-03-08
B044,,중국 인문지리 알기,한중인문학교류연구소,시사중국어사,,,https://product.kyobobook.co.kr/detail/S000001752115,,,,,대학/임용,지역,2026-03-08
B045,,장애의 지리학,브렌던 글리슨 외 / 최병두 등역,그린비,2020-07-01,8976826272,,,,https://www.aladin.co.kr/shop/wproduct.aspx?ItemId=246066605,대학/임용,인문지리,2026-03-08
B046,,십 대를 위한 지리 교과서 속 세계 분쟁 이야기,한병관 외,팜파스,,,https://product.kyobobook.co.kr/detail/S000216306280,,,,,중등,지역,2026-03-08
B047,,풍수강설(風水講說),박무흠 외,BOOKK(부크크),2025-01-01,,,https://www.yes24.com/Product/Goods/142772237,,,,대학/임용,자연지리,2026-03-08
